Client,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder
1017,0.005,0.005,1,1,118.0464285714,118.0464285714,25,91.7964285714,0,12,12,2,9,0
1456,364.7721428571,364.7528571429,4,3,774.98,774.98,14.2857142857,497.4442857143,258.6071428571,28,28,1,20,5
545,2471.7192857143,2471.7192857143,14,14,2190.2571428572,2190.2571428572,303.5714285714,179.0821428571,1229.4285714286,23,23,3,5,12
667,1127.7928571429,1127.7928571429,4,4,1344.6035714286,1344.6035714286,642.8571428571,194.2857142857,249.3214285714,21,21,3,4,8
1381,571.6182142857,571.6182142857,3,3,57.0714285714,57.0714285714,10.7142857143,46.3571428571,0,6,6,1,5,0
1360,1.4753571429,0.0357142857,4,1,113.75,112.3214285714,0,0,108,7,5,0,0,3
267,648.7796428571,648.7796428571,2,2,199.8107142857,199.8107142857,35.7142857143,130.8464285714,31.5,12,12,1,7,2
284,1650.6417857143,1650.6417857143,2,2,1661.7675,1661.7675,175,547.9825,597.5714285714,20,20,1,9,7
1420,1075.0232142857,1075.0232142857,2,2,620.3746428571,620.3746428571,0,0,616.9817857143,7,7,0,0,6
1024,178.5796428571,178.5796428571,2,2,109.1071428571,109.1071428571,107.1428571429,0,0,3,3,2,0,0
486,0.0653571429,0.0653571429,1,1,5.5357142857,5.5357142857,0,0,0,1,1,0,0,0
119,218.9935714286,218.1089285714,3,2,89.9821428571,89.9821428571,0,53.9464285714,33.6428571429,6,6,0,3,2
1301,799.4435714286,799.4435714286,7,7,587.3571428571,587.3571428571,0,0,578.3928571429,13,13,0,0,11
1243,1213.0039285714,1213.0039285714,2,2,1262.75,1262.75,357.1428571429,0,862.7142857143,17,17,3,0,9
505,1.3135714286,0.0042857143,2,1,1.9642857143,1.9642857143,0,0,0,1,1,0,0,0
