Client,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL
1,1,,,1,,,1333.8028571429,,,0,,
2,1,1,,,,,110.7685714286,13326.1903571429,,,,
3,1,,1,,,,482.6546428571,,107.2517857143,,,
4,1,1,,,1,,1599.8407142857,76.4371428571,,,1110.3817857143,
5,1,1,,,,,5353.4839285714,8079.7157142857,,,,
6,1,,,,,1,4.2971428571,,,,,1982.0710714286
7,1,,,,,,879.685,,,,,
8,1,,,1,,,0,,,326.9692857143,,
9,1,,,1,,,510.1664285714,,,0,,
10,1,1,,,,,253.4589285714,116.7092857143,,,,
11,1,1,,,,,709.9025,5.5903571429,,,,
12,1,,,,,,1075.475,,,,,
13,1,1,,,,1,353.8396428571,5.8325,,,,3458.2957142857
14,1,1,2,,1,1,23.3446428571,403.6592857143,13184.9225,,53.1321428571,17062.3242857143
15,1,,,,,,1.5453571429,,,,,
16,1,1,2,,,,10015.9246428571,31.6585714286,68246.335,,,
17,1,,,,,,338.7764285714,,,,,
18,1,,,,1,,935.9632142857,,,,1016.2925,
19,1,1,,,,,26118.0985714286,71661.5928571429,,,,
20,1,1,,,,,2194.4721428572,18302.0625,,,,
21,1,1,,,,,434.7425,173499.862857143,,,,
22,1,,,,,,2492.1467857143,,,,,
23,1,2,4,1,,,22.9671428571,25325.4378571429,868.7035714286,333.4007142857,,
24,1,,,,,,227.3110714286,,,,,
25,1,,,,,,79.3810714286,,,,,
26,1,,1,1,,,1868.2342857143,,61064.2857142857,0,,
27,1,,,1,,,1649.98,,,0,,
28,1,,,,,,14.6067857143,,,,,
29,1,,,1,,,373.3542857143,,,0,,
30,1,1,2,1,1,,162.4825,0.3239285714,0,510.7796428571,26.3835714286,
31,1,,,,1,1,2336.8507142857,,,,613.6017857143,679.5007142857
32,2,,,1,,1,12295.2585714286,,,0,,14708.5714285714
33,1,,,,,,18635.5753571429,,,,,
34,1,1,3,1,1,,188.6085714286,1343.2589285714,0,0,728.6689285714,
35,1,,,1,,,14.8632142857,,,0,,
36,1,1,2,,,,60.9978571429,1912.6325,3697.8375,,,
37,1,1,,,,,19.0135714286,3850.1732142857,,,,
38,1,1,,,,,6398.1121428572,7908.8832142857,,,,
39,1,,,,,1,1548.2375,,,,,286.7235714286
40,1,,,,,,871.7367857143,,,,,
41,1,,,1,,,194.9557142857,,,1373.3428571429,,
42,1,,12,,,,875.3714285714,,0,,,
43,1,,,1,,,26315.7703571429,,,0,,
44,1,,,,,,186.8460714286,,,,,
45,1,1,,,,,0,38757.8946428571,,,,
46,1,1,1,,,,503.9935714286,3628.3885714286,1891.0521428572,,,
47,1,1,5,,,,622.2275,1537.0542857143,0,,,
48,1,,5,1,,,2418.3175,,59721.7592857143,0,,
49,2,,,,,,4.1453571429,,,,,
50,1,,,,,,169.5635714286,,,,,
51,1,1,,1,,,1856.7185714286,5.8960714286,,0,,
52,1,,,,1,,960.5725,,,,0.4642857143,
