Client,Sex,Age,Tenure
909,M,21,27
1217,M,38,165
850,F,49,44
1473,M,54,34
1038,M,29,106
225,M,14,187
699,M,37,175
827,M,57,50
1231,F,6,232
528,F,19,70
1145,M,61,45
739,M,69,55
956,M,52,139
517,F,41,28
1219,M,33,19
1475,F,59,20
175,F,41,61
137,F,63,168
316,F,1,211
461,F,17,64
1048,F,65,71
123,F,22,40
1574,F,30,149
1160,M,19,260
1083,F,39,12
36,F,49,263
1134,F,35,96
191,M,59,150
689,F,39,133
390,M,50,67
1218,F,36,49
729,M,17,85
7,F,55,227
817,M,42,152
994,M,40,31
186,M,40,26
682,F,3,149
3,M,17,140
363,M,33,59
654,F,36,148
54,M,38,149
308,F,45,135
416,F,44,95
328,F,27,10
938,M,57,33
1445,F,27,28
285,F,76,249
1404,F,68,11
387,M,36,149
441,M,46,0
1098,M,64,118
883,F,34,67
547,F,52,31
317,M,35,53
1579,M,50,0
97,F,71,135
882,M,36,150
1201,F,61,132
1461,M,32,158
1182,M,47,86
18,M,25,41
561,F,51,25
273,M,40,67
1381,M,38,135
181,M,71,0
63,M,37,29
688,F,71,100
1520,M,51,120
109,M,64,151
1484,M,39,0
932,F,22,126
357,M,5,39
1289,F,12,20
1274,M,41,35
668,F,55,119
204,F,41,12
875,M,43,124
1380,F,32,165
1331,F,79,47
236,F,37,168
725,F,31,74
1545,M,60,159
248,F,27,127
135,M,24,82
332,M,73,37
1469,F,32,15
840,F,67,86
1076,F,22,61
478,M,41,11
703,F,21,149
1005,M,28,87
550,F,64,179
1116,M,24,33
976,F,58,175
1063,M,5,230
203,F,57,181
1037,F,59,181
427,M,25,20
519,M,17,151
469,M,38,183
1004,M,70,145
1001,M,64,9
262,F,38,72
2,M,43,152
707,M,88,75
601,M,61,33
477,M,32,152
907,M,67,193
1572,F,48,151
1127,M,70,191
1550,M,47,16
1584,M,39,181
1088,M,41,10
1186,F,45,173
891,M,21,11
889,M,36,236
661,F,67,56
1578,M,30,131
159,M,33,152
1142,F,41,0
1342,M,27,211
1379,F,47,133
240,M,43,162
1288,M,41,3
187,M,55,164
82,F,20,151
1458,M,38,152
527,F,17,22
536,M,29,14
761,F,44,13
375,M,64,149
1034,M,68,172
1440,M,29,96
1447,M,52,20
247,F,55,172
19,F,46,94
797,F,37,151
865,M,23,26
1287,M,40,176
1434,F,76,268
914,M,28,8
787,M,66,129
253,M,37,13
453,F,23,83
1542,F,56,62
631,F,65,150
10,F,29,48
1611,F,41,181
1477,F,64,184
238,M,24,256
293,F,21,76
457,F,73,0
959,F,34,27
1489,M,80,66
1552,M,50,89
215,M,32,94
130,F,60,147
1036,F,68,19
1060,M,40,88
370,M,77,1
322,F,1,92
1556,M,60,162
1405,M,24,103
154,M,28,151
460,F,20,150
501,F,64,11
217,M,17,152
9,F,33,182
4,M,24,153
981,M,34,59
1195,M,68,200
278,M,36,56
37,F,30,172
86,M,36,31
1353,M,29,83
79,F,41,75
1045,M,53,25
150,F,27,3
943,F,13,150
834,F,28,78
324,F,35,23
272,M,61,103
633,F,47,4
70,M,38,152
894,M,69,21
1423,M,67,50
1311,F,66,135
819,M,34,181
806,F,37,59
126,F,33,173
1352,F,67,59
436,M,27,70
393,M,60,170
1532,M,35,101
413,M,53,15
1019,F,18,39
1499,F,5,267
1516,F,40,192
564,M,58,32
476,M,42,37
971,M,59,56
947,M,34,86
1165,F,21,73
1439,F,25,7
570,F,51,3
1303,M,52,151
369,M,59,39
554,M,40,150
133,M,46,6
468,F,61,37
1227,F,39,122
1393,F,74,195
1104,F,79,213
1015,M,31,96
1596,M,49,78
256,F,29,93
1086,F,45,11
167,M,73,92
1285,M,76,4
1561,M,12,204
