Client,Sex,Age,Tenure,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL
909,0.0,21,27,789.1296428571001,738.23,4.0,3.0,450.6785714286,448.8928571429,178.5714285714,0.0,166.5714285714,8.0,7.0,1.0,0.0,4.0,1,,,1.0,,1.0,4.7107142857,,,0.0,,4291.9964285714,,,,,,
1217,0.0,38,165,0.0021428570999999998,0.0021428570999999998,1.0,1.0,714.2857142857001,714.2857142857001,0.0,0.0,714.2857142857001,1.0,1.0,0.0,0.0,1.0,1,,,,,,6752.244642857199,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
850,1.0,49,44,1392.4028571429,1392.4028571429,3.0,3.0,1226.3453571429,1226.3453571429,0.0,0.0,121.92857142860001,6.0,6.0,0.0,0.0,1.0,1,,,,,,43.5232142857,,,,,,0.0,1.0,0.0,0.0,0.8939285714,0.0
1473,0.0,54,34,1787.1275,939.1289285714,14.0,5.0,3875.1378571429,3794.5807142857,357.1428571429,444.5975,2076.7857142857,48.0,38.0,1.0,26.0,11.0,1,1.0,,,1.0,1.0,29.0242857143,14447.8014285714,,,653.91,1132.5903571428998,1.0,0.0,0.0,4.9296428571,0.0,0.0
1038,0.0,29,106,0.0060714286,0.0060714286,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,27.035714285700003,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
225,0.0,14,187,0.0075,0.0075,1.0,1.0,130.52142857139998,130.52142857139998,0.0,111.2357142857,19.2857142857,5.0,5.0,0.0,4.0,1.0,1,,,1.0,,,345.68607142860003,,,618.3975,,,0.0,0.0,1.0,0.0,0.0,8.1307142857
699,0.0,37,175,1033.4960714286,778.37,8.0,6.0,661.4832142857,566.1260714286,89.2857142857,0.0,216.8928571429,13.0,10.0,2.0,0.0,5.0,1,,4.0,1.0,,,1823.0571428572,,18491.4442857143,0.0,,,,,,,,
827,0.0,57,50,1755.2817857143,1750.4042857143,9.0,6.0,1474.3214285714002,1455.0357142857001,607.1428571429,17.8571428571,843.25,26.0,23.0,4.0,1.0,17.0,1,,,1.0,1.0,,49.193571428599995,,,0.0,0.4642857143,,0.0,1.0,1.0,0.0,7.9285714286,12.242142857100001
1231,1.0,6,232,0.0157142857,0.0157142857,2.0,2.0,2257.0,2257.0,2250.0,0.0,0.0,9.0,9.0,6.0,0.0,0.0,1,,,,,,819.8539285714,,,,,,0.0,0.0,1.0,0.0,0.0,24.434642857100002
528,1.0,19,70,435.6821428571,435.6821428571,2.0,2.0,390.0564285714,390.0564285714,125.0,70.8421428571,190.8214285714,10.0,10.0,4.0,3.0,2.0,1,,,1.0,,,0.0,,,0.0,,,,,,,,
1145,0.0,61,45,132.1589285714,132.1589285714,3.0,3.0,3.3928571429,3.3928571429,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,,,,,,324.71,,,,,,,,,,,
739,0.0,69,55,208.4467857143,150.0035714286,4.0,2.0,287.0035714286,282.575,0.0,211.1821428571,0.0,7.0,5.0,0.0,3.0,0.0,1,1.0,8.0,1.0,,1.0,5519.3089285714,0.0,9824.2367857143,0.0,,3868.6796428571997,0.0,1.0,1.0,0.0,2.1385714286,7.7857142857
956,0.0,52,139,1699.1328571429,1278.5364285714,13.0,10.0,1647.4603571429002,1238.9960714286,71.4285714286,118.72107142860001,624.2142857143,27.0,20.0,1.0,4.0,11.0,2,,,1.0,,,3611.3978571428997,,,0.0,,,0.0,0.0,1.0,0.0,0.0,19.9582142857
517,1.0,41,28,570.1578571429,570.1578571429,2.0,2.0,557.8964285714,557.8964285714,71.4285714286,224.14642857139998,251.1785714286,17.0,17.0,2.0,10.0,3.0,1,,,,,,17.0510714286,,,,,,,,,,,
1219,0.0,33,19,347.3221428571,347.3221428571,2.0,2.0,368.4928571429,368.4928571429,71.4285714286,19.6714285714,246.3214285714,13.0,13.0,2.0,3.0,5.0,1,,,,,,5164.2064285714005,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1475,1.0,59,20,794.7878571429,794.7878571429,4.0,4.0,855.9642857142999,855.9642857142999,407.1428571429,0.0,445.4285714286,10.0,10.0,3.0,0.0,6.0,1,,,,,,388.8267857143,,,,,,,,,,,
175,1.0,41,61,676.3442857143,548.9657142857,5.0,4.0,569.6253571429,566.8039285714,214.2857142857,0.0,193.2325,8.0,7.0,2.0,0.0,3.0,1,,,,,2.0,0.0707142857,,,,,20749.2946428571,,,,,,
137,1.0,63,168,447.1128571429,447.1128571429,2.0,2.0,503.9807142857,503.9807142857,178.5714285714,255.9092857143,67.4285714286,11.0,11.0,1.0,6.0,3.0,3,,1.0,,,,185.72214285709998,,0.0,,,,0.0,1.0,0.0,0.0,9.392857142899999,0.0
316,1.0,1,211,1022.8460714286,1022.8460714286,6.0,6.0,1026.8178571429,1026.8178571429,535.7142857143,7.710714285700001,481.4642857143,21.0,21.0,6.0,1.0,9.0,1,,,,,,22.7335714286,,,,,,0.0,0.0,1.0,0.0,0.0,15.0153571429
461,1.0,17,64,1463.9160714286,1463.8007142857,5.0,4.0,1590.5982142857001,1590.5982142857001,0.0,340.7517857143,719.9642857142999,18.0,18.0,0.0,3.0,12.0,1,1.0,,,,,6.537857142899999,6128.227857142901,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1048,1.0,65,71,729.2757142857,729.2757142857,2.0,2.0,541.25,541.25,535.7142857143,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1,,,1.0,,,1911.4914285714,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
123,1.0,22,40,30.381785714299998,30.381785714299998,2.0,2.0,35.8928571429,35.8928571429,0.0,33.9285714286,0.0,2.0,2.0,0.0,1.0,0.0,2,,,,,,8883.9682142857,,,,,,0.0,0.0,1.0,0.0,0.0,10.4610714286
1574,1.0,30,149,0.0071428570999999995,0.0071428570999999995,1.0,1.0,0.8939285714,0.8939285714,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,,,,,,478.5435714286,,,,,,0.0,0.0,1.0,0.0,0.0,3.9435714286000003
1160,0.0,19,260,884.5928571428999,865.2971428571001,3.0,2.0,929.5178571429,925.625,285.7142857143,190.8142857143,178.6428571429,28.0,26.0,3.0,9.0,7.0,1,,,1.0,,1.0,2723.9803571429,,,0.0,,4239.8775,0.0,1.0,1.0,0.0,0.8571428570999999,17.9932142857
1083,1.0,39,12,1076.2221428572,1076.2221428572,2.0,2.0,1078.7632142857,1078.7632142857,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2,,1.0,,,,42.6189285714,,759.1507142857,,,,0.0,0.0,1.0,0.0,0.0,27.5517857143
36,1.0,49,263,7155.630357142901,7142.885,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,,,,60.9978571429,1912.6325,3697.8375,,,,1.0,0.0,0.0,0.2380357143,0.0,0.0
1134,1.0,35,96,2842.7089285714,2234.1964285714002,31.0,28.0,3054.2846428571997,2216.3392857143,364.2857142857,191.7785714286,681.0357142857,66.0,40.0,6.0,12.0,11.0,1,,,1.0,,1.0,2534.9835714286,,,0.0,,4249.217857142899,,,,,,
191,0.0,59,150,998.6810714286,998.6810714286,4.0,4.0,995.4103571428999,995.4103571428999,114.2857142857,83.9467857143,790.035,19.0,19.0,6.0,5.0,4.0,1,,,,,,1047.5860714286,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
689,1.0,39,133,1071.4289285714,1071.4289285714,3.0,3.0,908.275,908.275,0.0,10.7857142857,0.0,5.0,5.0,0.0,3.0,0.0,1,,,,,,396.3082142857,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
390,0.0,50,67,1839.9928571429,1836.7453571429,6.0,4.0,701.9875,701.9875,89.2857142857,213.9517857143,397.1428571429,38.0,38.0,2.0,29.0,6.0,1,1.0,79.0,,,,442.3460714286,0.3957142857,5468.8653571428995,,,,1.0,0.0,0.0,1.3798214286000001,0.0,0.0
1218,1.0,36,49,250.6489285714,241.8342857143,3.0,2.0,3220.5353571428996,6.2496428571000004,0.0,0.0,3214.2857142857,5.0,2.0,0.0,0.0,3.0,1,1.0,,,,,54.8239285714,1584.6432142857,,,,,,,,,,
729,0.0,17,85,1069.8657142857,1069.8110714286,6.0,5.0,4748.7142857143,4748.7142857143,0.0,0.0,462.7857142857,14.0,14.0,0.0,0.0,11.0,1,1.0,1.0,1.0,,,2082.3089285714,0.0,0.0,0.0,,,0.0,1.0,1.0,0.0,3.5021428571,28.1489285714
7,1.0,55,227,387.5046428571,387.5046428571,2.0,2.0,99.04392857139999,99.04392857139999,17.8571428571,69.15107142859999,10.714285714299999,10.0,10.0,1.0,6.0,1.0,1,,,,,,879.685,,,,,,,,,,,
817,0.0,42,152,974.0171428571001,974.0171428571001,5.0,5.0,516.1785714286,516.1785714286,0.0,0.0,513.6785714286,6.0,6.0,0.0,0.0,5.0,1,,3.0,,,,57.5575,,6083.6485714286,,,,,,,,,
994,0.0,40,31,402.6103571429,339.2864285714,4.0,3.0,406.6928571429,402.2642857143,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,1,,,,,2.0,2314.6135714285997,,,,,515.4564285714,,,,,,
186,0.0,40,26,1918.8739285714003,1343.8639285714,23.0,18.0,1884.7275,1243.8639285714,332.1428571429,73.2428571429,239.5,34.0,18.0,4.0,4.0,4.0,1,,,1.0,,1.0,981.5882142857,,,0.0,,8742.690357142901,0.0,0.0,0.0,0.0,0.0,0.0
682,1.0,3,149,1152.6828571428998,866.5007142857,5.0,3.0,1043.5357142857001,1043.5357142857001,742.8571428571,0.0,297.9285714286,22.0,22.0,12.0,0.0,2.0,1,1.0,11.0,,,,684.2814285713999,4557.6075,1146.4175,,,,0.0,1.0,1.0,0.0,0.21428571429999999,9.392857142899999
3,0.0,17,140,1607.1496428572,1607.1496428572,4.0,4.0,123.75,123.75,0.0,112.85714285709999,10.6785714286,3.0,3.0,0.0,1.0,1.0,1,,1.0,,,,482.6546428571,,107.2517857143,,,,,,,,,
363,0.0,33,59,443.0557142857,443.0557142857,2.0,2.0,468.6785714286,468.6785714286,0.0,447.4285714286,17.8571428571,6.0,6.0,0.0,4.0,1.0,1,,,,,,7169.0071428572,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
